ResponseId,Q8_1Fa_1,Q8_2Kn_1,Q9_1Ge,Q9_2Age,Q9_3Em,Q9_4Ch,Q9_6Ed,Q9_7In,Q9_8He,Q9_9Po,region
R_2SDANhBDtuou3OJ,7,4,Kvinde,2005,Deltidsarbejde,0,Gymnasial uddannelse,1.000.000 - 1.499.999 DKK om året,Godt,4171,Region Sjælland
R_8fB6Gib4iIR7zR8,1,1,Kvinde,1998,Studerende,0,Gymnasial uddannelse,Foretrækker ikke at sige  ,Godt,6000,Region Syddanmark
R_24udw4nO1F1VNwi,3,3,Mand,1967,Fuldtidsarbejde,0,Erhvervsuddannelse eller lignende,1.000.000 - 1.499.999 DKK om året,Godt,3650,Region Hovedstaden
R_2qeWmXNGw34rnoB,3,3,Kvinde,1967,Andet ,0,Kandidatgrad,Mere end 1.500.000 DKK om året,Moderat ,8000,Region Midtjylland
R_2nHVxzybAu5DemJ,3,1,Kvinde,1989,Deltidsarbejde,2,Bachelorgrad,375.000 - 564.999 DKK om året,Godt,,
R_8jv6JUC9PyMZJCD,4,3,Mand,1966,Fuldtidsarbejde,0,Folkeskole ,Foretrækker ikke at sige  ,Moderat ,4736,Region Sjælland
R_81H0P23MXzR1mzF,4,4,Kvinde,2003,Fuldtidsarbejde,0,Gymnasial uddannelse,Mindre end 185.000 DKK om året,Godt,2200,Region Hovedstaden
R_2UeVYdULGWF9X4i,5,4,Kvinde,1967,Deltidsarbejde,0,Erhvervsuddannelse eller lignende,185.000 - 374.999 DKK om året,Moderat ,2100,Region Hovedstaden
R_8eCR2vE0LpJGoZQ,3,3,Mand,1953,Pensioneret,0,Bachelorgrad,185.000 - 374.999 DKK om året,Godt,2100,Region Hovedstaden
R_2GvOL5W160ovAcv,2,2,Kvinde,1968,Deltidsarbejde,0,Bachelorgrad,185.000 - 374.999 DKK om året,Godt,3460,Region Hovedstaden
R_8gIWDx7SUPgXYu2,4,4,Kvinde,1964,Hjemmegående,0,Kandidatgrad,Foretrækker ikke at sige  ,Dårligt,4700,Region Sjælland
R_2uCdEKKHHadYzx8,5,5,Mand,1966,Deltidsarbejde,0,Erhvervsuddannelse eller lignende,375.000 - 564.999 DKK om året,Moderat ,8940,Region Midtjylland
R_2X095LwYSW6nONK,5,4,Kvinde,1981,Fuldtidsarbejde,0,Bachelorgrad,375.000 - 564.999 DKK om året,Moderat ,2400,Region Hovedstaden
R_8dlLzs08H0K8wnv,7,5,Kvinde,1967,Fuldtidsarbejde,0,Gymnasial uddannelse,375.000 - 564.999 DKK om året,Meget godt,5500,Region Syddanmark
R_2fK37fJsUPdL2Jo,6,5,Mand,1967,Fuldtidsarbejde,0,Kandidatgrad,1.000.000 - 1.499.999 DKK om året,Moderat ,3450,Region Hovedstaden
R_8Pz2LRztR5QI9Qo,5,3,Kvinde,2003,Studerende,0,Gymnasial uddannelse,Foretrækker ikke at sige  ,Moderat ,2620,Region Hovedstaden
R_2MVIPyp1o3saifn,5,5,Mand,1954,Pensioneret,0,Folkeskole ,375.000 - 564.999 DKK om året,Meget godt,2720,Region Hovedstaden
R_83hTgucldhNOWHv,5,4,Mand,1965,Fuldtidsarbejde,0,Folkeskole ,750.000 - 999.999 DKK om året,Godt,6920,Region Midtjylland
R_8EKiOst39bAVMMo,2,2,Mand,1968,Fuldtidsarbejde,0,Erhvervsuddannelse eller lignende,1.000.000 - 1.499.999 DKK om året,Godt,4300,Region Sjælland
R_8qyiBJBVielvuOJ,3,3,Mand,1988,Fuldtidsarbejde,3,Kandidatgrad,1.000.000 - 1.499.999 DKK om året,Godt,8382,Region Midtjylland
R_2kU9q2rNXfyl0Mp,6,6,Mand,1982,Fuldtidsarbejde,2,Bachelorgrad,750.000 - 999.999 DKK om året,Meget godt,5500,Region Syddanmark
R_8O24ULnTTTFqT6x,5,3,Kvinde,1957,Pensioneret,0,Bachelorgrad,565.000 - 749.999 DKK om året,Meget godt,8420,Region Midtjylland
