ResponseId,"R1_At drikke vand fra plastflasker, der indeholder Bisphenol A (BPA)","R1_At spise mad med ftalater, der overføres fra plastemballage","R1_Indtagelse af farmaceutiske produkter, der indeholder parabener som konserveringsmidler","R1_At spise fødevarer, der indeholder per- og polyfluoralkylstoffer (PFAS)",R1_At spise fisk fanget i vand forurenet med bromerede flammehæmmere (BFR-stoffer),"R1_At spise frugt og grøntsager, der er behandlet med pesticider","R1_Brug af bodylotioner, der indeholder Bisphenol A (BPA) direkte på huden","R1_Brug af deodoranter med parfume, der indeholder ftalater","R1_Brug af solcremer, der indeholder parabener som konserveringsmiddel","R1_Brug af ansigtscremer, der indeholder per- og polyfluoralkylstoffer (PFAS) direkte på huden","R1_At sove på en madras, der indeholder bromerede flammehæmmere (BFR-stoffer)","R1_Brug af insektmidler, der indeholder pesticider direkte på huden",R1_Indånding af Bisphenol A (BPA)-partikler fra indendørs støv,"R1_Indånding af luft, der indeholder ftalater fra indendørs luftfriskere",R1_Indånding af parabenpartikler fra indendørs støv,R1_Indånding af per- og polyfluoralkylstof (PFAS)-partikler ved ophold på indendørsarealer med gulvtæppe,"R1_Indånding af bromerede flammehæmmere (BFR-stoffer), der frigives fra elektroniske apparater","R1_Indånding af luft, der indeholder pesticider, som kan have bevæget sig fra et affaldsanlæg","R2_At drikke vand fra plastflasker, der indeholder Bisphenol A (BPA)","R2_At spise mad med ftalater, der overføres fra plastemballage","R2_Indtagelse af farmaceutiske produkter, der indeholder parabener som konserveringsmidler","R2_At spise fødevarer, der indeholder per- og polyfluoralkylstoffer (PFAS)",R2_At spise fisk fanget i vand forurenet med bromerede flammehæmmere (BFR-stoffer),"R2_At spise frugt og grøntsager, der er behandlet med pesticider","R2_Brug af bodylotioner, der indeholder Bisphenol A (BPA) direkte på huden","R2_Brug af deodoranter med parfume, der indeholder ftalater","R2_Brug af solcremer, der indeholder parabener som konserveringsmiddel","R2_Brug af ansigtscremer, der indeholder per- og polyfluoralkylstoffer (PFAS) direkte på huden","R2_At sove på en madras, der indeholder bromerede flammehæmmere (BFR-stoffer)","R2_Brug af insektmidler, der indeholder pesticider direkte på huden",R2_Indånding af Bisphenol A (BPA)-partikler fra indendørs støv,"R2_Indånding af luft, der indeholder ftalater fra indendørs luftfriskere",R2_Indånding af parabenpartikler fra indendørs støv,R2_Indånding af per- og polyfluoralkylstof (PFAS)-partikler ved ophold på indendørsarealer med gulvtæppe,"R2_Indånding af bromerede flammehæmmere (BFR-stoffer), der frigives fra elektroniske apparater","R2_Indånding af luft, der indeholder pesticider, som kan have bevæget sig fra et affaldsanlæg","R3_At drikke vand fra plastflasker, der indeholder Bisphenol A (BPA)","R3_At spise mad med ftalater, der overføres fra plastemballage","R3_Indtagelse af farmaceutiske produkter, der indeholder parabener som konserveringsmidler","R3_At spise fødevarer, der indeholder per- og polyfluoralkylstoffer (PFAS)",R3_At spise fisk fanget i vand forurenet med bromerede flammehæmmere (BFR-stoffer),"R3_At spise frugt og grøntsager, der er behandlet med pesticider","R3_Brug af bodylotioner, der indeholder Bisphenol A (BPA) direkte på huden","R3_Brug af deodoranter med parfume, der indeholder ftalater","R3_Brug af solcremer, der indeholder parabener som konserveringsmiddel","R3_Brug af ansigtscremer, der indeholder per- og polyfluoralkylstoffer (PFAS) direkte på huden","R3_At sove på en madras, der indeholder bromerede flammehæmmere (BFR-stoffer)","R3_Brug af insektmidler, der indeholder pesticider direkte på huden",R3_Indånding af Bisphenol A (BPA)-partikler fra indendørs støv,"R3_Indånding af luft, der indeholder ftalater fra indendørs luftfriskere",R3_Indånding af parabenpartikler fra indendørs støv,R3_Indånding af per- og polyfluoralkylstof (PFAS)-partikler ved ophold på indendørsarealer med gulvtæppe,"R3_Indånding af bromerede flammehæmmere (BFR-stoffer), der frigives fra elektroniske apparater","R3_Indånding af luft, der indeholder pesticider, som kan have bevæget sig fra et affaldsanlæg"
R_2SDANhBDtuou3OJ,4,,,5,,,2,6,,1,,,,3,,,,,,,1,,,4,,,6,,3,,,,5,,2,,,1,,,2,,,,,,,6,5,,,4,,3
R_8fB6Gib4iIR7zR8,,4,,,5,,,,,,3,6,,,,,1,2,,,6,3,,,,,,,,,5,2,4,1,,,5,,,,,4,2,6,3,1,,,,,,,,
R_24udw4nO1F1VNwi,5,2,,4,,,,6,,3,,1,,,,,,,,,,,1,2,3,,4,,6,,,,,,,5,,,2,,,,,,,,,,6,3,1,4,5,
R_2qeWmXNGw34rnoB,,,,4,2,6,,,,,,1,3,,,,5,,,1,,,,,5,,,6,3,,,,,4,,2,1,,4,,,,,6,5,,,,,2,3,,,
R_2nHVxzybAu5DemJ,,,,,4,,,,,,,1,3,,,2,6,5,,,,,,2,3,6,4,,,,,1,5,,,,4,2,5,3,,,,,,6,1,,,,,,,
R_8jv6JUC9PyMZJCD,,2,,,3,6,,,,,,1,,,,,5,4,1,,,2,,,3,5,4,6,,,,,,,,,,,1,,,,,,,,6,,3,4,5,2,,
R_81H0P23MXzR1mzF,,,3,1,6,4,,,,,,2,,,,,,5,,2,,,,,,,,3,5,,4,,1,6,,,1,,,,,,6,2,5,,,,,3,,,4,
R_2UeVYdULGWF9X4i,,,,4,,,6,3,,5,,1,,,,,,2,,6,3,,4,,,,,,,,,1,,5,2,,3,,,,,4,,,6,,5,,1,,2,,,
R_8eCR2vE0LpJGoZQ,,4,,1,3,2,,,,,,,,,6,,,5,6,,,,,,2,,,,,1,,5,,3,4,,,,4,,,,,6,5,2,3,,1,,,,,
R_2GvOL5W160ovAcv,,2,6,1,,,,,,,,,,5,4,,,3,3,,,,,1,,4,6,,5,2,,,,,,,,,,,1,,3,,,2,,,6,,,5,4,
R_8gIWDx7SUPgXYu2,2,4,,6,,1,,,,,,,,,,5,3,,,,,,1,,,,,,6,,5,3,4,,,2,,,5,,,,4,3,6,2,,1,,,,,,
R_2uCdEKKHHadYzx8,6,,,,2,3,,,4,5,,,,,,,,1,,4,6,1,,,2,3,,,,5,,,,,,,,,,,,,,,,,6,,4,5,3,2,1,
R_2X095LwYSW6nONK,,,,,,,,,,,,,4,6,5,3,1,2,,,,,6,,2,1,4,3,,5,,,,,,,6,4,2,3,,1,,,,,5,,,,,,,
R_8dlLzs08H0K8wnv,,,6,,,,,,,,,3,5,2,,,1,4,3,5,,,2,1,,,,,4,,,,,6,,,,,,2,,,4,3,6,5,,,,,1,,,
R_2fK37fJsUPdL2Jo,,,,6,5,,,,,,1,,4,,,3,2,,,,6,,,,5,,,3,,,,4,2,,,1,4,1,,,,3,,2,5,,,6,,,,,,
R_8Pz2LRztR5QI9Qo,,5,,2,,4,,,,,,,3,,,,6,1,,,,,,,5,4,3,2,,,,6,1,,,,3,,6,,1,,,,,,2,5,,,,4,,
R_2MVIPyp1o3saifn,,1,,,3,4,,,,,,2,,5,,,,6,,,,1,,,,,5,2,,,6,,4,3,,,6,,1,,,,3,5,,,2,,,,,,4,
R_83hTgucldhNOWHv,,6,,5,3,,,,,,,,2,4,1,,,,,,6,,,1,3,,,4,,5,,,,,2,,2,,,,,,,1,4,,5,,,,,3,,6
R_8EKiOst39bAVMMo,,,,,,,,,2,1,6,,3,,5,,4,,,3,,2,,5,,,,,,1,,6,,,,4,1,,5,,4,,3,2,,,,,,,,6,,
R_8qyiBJBVielvuOJ,5,,,,1,6,,,,,,,,,,3,4,2,,,,4,,,,5,,,6,2,1,,3,,,,,5,2,,,,1,,3,4,,,,6,,,,
R_2kU9q2rNXfyl0Mp,4,,,,,,5,,3,2,,,,1,,6,,,,,,3,,1,,,,,4,,2,,5,,6,,,6,3,,5,,,2,,,,1,,,,,,4
R_8O24ULnTTTFqT6x,,4,,3,6,,,,,,,,5,,,,2,1,5,,6,,,4,,,,,,,,3,2,1,,,,,,,,,5,6,2,4,1,3,,,,,,
