ResponseId,Q8_1Fa_1,Q8_2Kn_1,Q9_1Ge,Q9_2Age,Q9_3Em,Q9_5Ch,Q9_6Ed,Q9_7In,Q9_8He,Q9_9Po,region
R_8FKJm458JboHe5r,2,2,Male,1991,Working full-time,0,Master's degree,"£20,000 - £39,999 per year",Very good,,
R_2QeAOuK8feCcVnr,5,4,Female,1988,Working part-time,2,Bachelor’s degree,"£40,000 - £59,999 per year",Good,le18,East Midlands
R_2LYZ6krTvxi7lcB,1,1,Female,1991,A homemaker or stay-at-home parent,More than 3,Vocational or similar,"£20,000 - £39,999 per year",Very good,Pr8,North West
R_8Oi8KGuivvcnyJQ,5,5,Male,1988,Working full-time,0,Bachelor’s degree,Prefer not to say,Good,,
R_8N8t1Jojupe7nPP,1,1,Male,1968,Working full-time,0,Bachelor’s degree,Prefer not to say,Good,NE29 7QG,North East
R_8jPK3ofIVEgOLd0,4,2,Female,1964,A homemaker or stay-at-home parent,1,Bachelor’s degree,"£20,000 - £39,999 per year",Very good,ME14 2QG ,South East
R_8UWvX0GJmjullLK,1,1,Male,1996,Working full-time,1,Bachelor’s degree,"£60,000 - £79,999 per year",Good,,
R_8tXxnuh6zajmYYp,1,1,Male,1996,Working full-time,0,Vocational or similar,"£20,000 - £39,999 per year",Good,SN12,South West
R_8nGckix2TOlwBhf,3,3,Male,1981,Working full-time,1,Vocational or similar,"£20,000 - £39,999 per year",Good,HR2 6SE,West Midlands
R_24FPPx0L2QSijAZ,2,1,Female,1994,Working full-time,1,Bachelor’s degree,"£60,000 - £79,999 per year",Very good,NR31 7RL,East of England
R_8wzDu1vp3fDKIKc,4,4,Male,1998,Working part-time,0,Master's degree,"£20,000 - £39,999 per year",Good,,
R_82FGZ87YzixxYLQ,1,1,Female,1968,Working part-time,0,Vocational or similar,"£80,000 - £99,999 per year",Good,LS8 3AS,Yorkshire and The Humber
R_2o3vt590RD4ccO5,2,2,Male,1964,Working full-time,0,Bachelor’s degree,"£60,000 - £79,999 per year",Good,de74  3ef,East Midlands
R_2Yuzg3HyC89HSNz,1,1,Male,1982,Working full-time,2,Vocational or similar,"£80,000 - £99,999 per year",Good,TN104JJ,South East
R_8y1n1MCXaLpaTEy,4,4,Female,1983,Working full-time,1,Vocational or similar,"Less than £20,000 per year",Moderate ,,
R_8HYpNjus1YbLs2G,1,1,Male,1990,Working full-time,0,Bachelor’s degree,"£40,000 - £59,999 per year",Good,,
R_8YGr0hbQTjzs8sb,1,1,Female,2002,Student,0,Vocational or similar,"Less than £20,000 per year",Moderate ,OX28 5BQ,South East
R_2vhRRikRcP8qtgA,1,1,Female,1990,Working full-time,More than 3,Secondary school,"£20,000 - £39,999 per year",Bad,RG27NS,South East
R_2DcqgeZ5aPBPA2m,3,2,Male,1960,Retired,0,Master's degree,"£20,000 - £39,999 per year",Good,WF5 8HT,Yorkshire and The Humber
R_8jSAB5mV3H22LhY,1,1,Male,1997,Working full-time,0,Vocational or similar,"£60,000 - £79,999 per year",Good,,
R_2vTFjFUY9KBlahz,1,1,Female,1991,Working full-time,3,Bachelor’s degree,"More than £115,000 per year",Moderate ,S66 3ZQ,Yorkshire and The Humber
R_81TebtCbNjhg1eV,1,1,Female,1947,Retired,0,Vocational or similar,"Less than £20,000 per year",Moderate ,TN2 3UH,South East
R_2PATbaKL4uQg4XY,5,5,Female,1993,A homemaker or stay-at-home parent,2,Secondary school,"£20,000 - £39,999 per year",Good,SP8 4EQ,South West
R_2R2m7x58ZyOwfh0,1,1,Female,1983,Working full-time,0,Secondary school,"£20,000 - £39,999 per year",Moderate ,DE1 1UA,East Midlands
R_2SiyylbS2KpiOHA,2,1,Male,2000,Working full-time,0,Bachelor’s degree,"£20,000 - £39,999 per year",Good,SW17 8TY,London
R_2RqGoF1F5vICht2,2,2,Male,1968,Working full-time,0,Vocational or similar,"£60,000 - £79,999 per year",Moderate ,W6 8QR,London
R_8NhrDF62Yn1jdCL,2,2,Male,1969,Other,0,Vocational or similar,"Less than £20,000 per year",Bad,ka21 5rg,Scotland
R_8qlVOpj5Ls3t6Lx,2,2,Female,1967,Other,0,Bachelor’s degree,"Less than £20,000 per year",Moderate ,M31 4EU,North West
R_2qz0gUaIjZKzq9k,1,2,Male,1973,Unemployed and looking for work,0,Secondary school,"Less than £20,000 per year",Bad,OL5 9HY,North West
R_21pFcy9bf6GZMjW,2,2,Male,1995,Working full-time,0,Secondary school,"Less than £20,000 per year",Very good,Bn11 1XQ,South East
R_8VvwDVSCMNZf5Ch,1,1,Female,1992,Working full-time,0,Vocational or similar,"£40,000 - £59,999 per year",Good,G51 2LB,Scotland
R_2JoFqjrSbuL8WB3,4,3,Female,1995,Other,0,Master's degree,Prefer not to say,Moderate ,TN1,South East
R_276KNP4yHD0TdG9,1,1,Female,1992,A homemaker or stay-at-home parent,3,Vocational or similar,"£40,000 - £59,999 per year",Good,,
R_2uxqf33zZD1thy9,1,1,Male,1964,Retired,2,Bachelor’s degree,"£40,000 - £59,999 per year",Very good,SA107EA,
R_2assfly2FiOEAso,2,2,Male,1996,Working full-time,0,Bachelor’s degree,"£20,000 - £39,999 per year",Moderate ,L4,North West
R_87xSd1mVB76sklL,3,3,Female,1996,Working full-time,0,Bachelor’s degree,"£60,000 - £79,999 per year",Very good,,
R_2HI5T7Osg3rONNL,2,2,Female,1992,Working full-time,2,Master's degree,"£100,000 - £150,000 per year",Good,,
R_2q7tEqZjw2UFKc7,4,2,Female,1980,Working part-time,2,Bachelor’s degree,"£80,000 - £99,999 per year",Bad,L36 4NS,North West
R_83tYLIhtnWNho2J,1,4,Female,1997,Working full-time,0,Secondary school,"£20,000 - £39,999 per year",Good,,
R_81otbVSJiadyBKx,5,5,,,Working full-time,3,Prefer not to say,Prefer not to say,Prefer not to say,,
R_2j9eoqfURxzJ68u,4,5,Female,1980,Working part-time,1,Bachelor’s degree,"£60,000 - £79,999 per year",Very good,,
R_2kU55gELDokQ9TX,2,1,Female,1967,Working part-time,0,Master's degree,"Less than £20,000 per year",Good,BN2 3AR,South East
R_877k1ztBKpbJF5J,1,1,Male,1969,Working full-time,0,Vocational or similar,"£20,000 - £39,999 per year",Moderate ,BT28 1sr,Northern Ireland
R_8EmU9f39iVom03N,2,1,Male,1992,Working full-time,0,Vocational or similar,"£20,000 - £39,999 per year",Good,GL3 2RB,South West
R_2EtmWedvfNXZiZw,2,3,Female,1988,Working part-time,2,Bachelor’s degree,Prefer not to say,Good,,
R_2uOkwMg6LAhODQq,2,2,Male,2002,Working part-time,0,Secondary school,"£20,000 - £39,999 per year",Moderate ,BR5,London
R_2qDAgM9uy1L2jvx,5,3,Male,1970,Working full-time,0,Bachelor’s degree,"£20,000 - £39,999 per year",Bad,YO24,Yorkshire and The Humber
R_8pQaqRCGZBJ8juR,2,1,Male,1988,Working part-time,0,Vocational or similar,"£20,000 - £39,999 per year",Good,cv21 3sj,West Midlands
R_8dowGP0wCxttG6J,2,2,Female,2001,Student,0,Bachelor’s degree,Prefer not to say,Very good,,
R_29fVLEDCQ39W48N,1,5,Female,1994,Working full-time,1,Master's degree,"£60,000 - £79,999 per year",Good,M1 1AD,North West
R_2hQoN1o7RasnUJz,3,3,Male,,Working full-time,0,Prefer not to say,Prefer not to say,Prefer not to say,,
R_8vl86bWS3YMGelr,1,1,Female,2001,Working full-time,0,Bachelor’s degree,"£20,000 - £39,999 per year",Moderate ,,
R_82Jg0JO857wOFFM,1,1,Male,1983,Working full-time,More than 3,Bachelor’s degree,"£80,000 - £99,999 per year",Moderate ,,
R_8EH1dyrOZoMWaaY,1,5,Male,1967,Working part-time,0,Master's degree,"£20,000 - £39,999 per year",Good,,
R_8ePdH5nqiGiTvDd,1,1,Female,1984,Working part-time,2,Bachelor’s degree,"£20,000 - £39,999 per year",Very good,NG4 1AU,East Midlands
R_8E007HUrAdTGcKZ,2,2,Female,1992,Working full-time,1,Bachelor’s degree,"£40,000 - £59,999 per year",Good,Cf818td,
R_89dp0h8gQngt7X5,2,2,Female,1992,Working part-time,0,Vocational or similar,Prefer not to say,Good,,
R_2sokUGx2gWxR79v,3,2,Female,1986,Working full-time,2,Bachelor’s degree,"£40,000 - £59,999 per year",Good,BT8 6LH,Northern Ireland
R_22Y1WljAL2WnCB8,1,1,Female,1984,Working full-time,0,Bachelor’s degree,Prefer not to say,Good,,
R_8QSsXGJWXZuMdkv,2,2,Female,1998,Student,0,Master's degree,"Less than £20,000 per year",Good,,
R_89v85JtXmCxyhcB,2,2,Male,1956,Retired,0,Bachelor’s degree,"£20,000 - £39,999 per year",Moderate ,,
