ResponseId,Q8_1Fa_1,Q8_2Kn_1,Q9_1Ge,Q9_2Age,Q9_3Em,Q9_5Ch,Q9_6Ed,Q9_7In,Q9_8He,Q9_9Po,region
R_1ZPRg2PMAOOIyKJ,3,3,Female,1996,Working full-time,2,Bachelor’s degree,"$100,000 - $124,999 per year",Good,83427,West
R_3ihf4Oy2iYGaNyh,2,1,Female,1956,Retired,0,Vocational or similar,"$100,000 - $124,999 per year",Moderate ,14526,Northeast
R_5lAowRnjEr2b6aB,4,4,Female,1988,Working full-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Good,78227,South
R_1FnW7m0SVE43Lsy,3,3,Female,2003,Working part-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Very good,33156,South
R_7PgRmwk2MYZlPhp,2,2,Male,1982,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,60606,Midwest
R_5403Hpcbe4LmTP8,4,5,Female,1996,Working full-time,1,Bachelor’s degree,"$45,000 - $74,999 per year",Moderate ,92374,West
R_3MscXXvzY7dYlJY,3,2,Male,1998,Working part-time,0,Secondary school,"$25,000 - $49,999 per year",Good,11208,Northeast
R_5uDmlmfnyFw5s4V,6,6,Male,1999,Working full-time,1,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,,
R_3k0x1CM0xSNGn5r,5,5,Female,1990,Working full-time,2,Bachelor’s degree,"$125,000 - $190,000 per year",Very good,11206,Northeast
R_5BwiNZSAqLgJNaF,3,3,Male,1992,Working full-time,0,Bachelor’s degree,"$75,000 - $99,999 per year",Very good,10925,Northeast
R_3dJuBS7E3lqLU1H,3,2,Male,1948,Retired,0,Master's degree,"$45,000 - $74,999 per year",Good,32966,South
R_3f2FisYXpSoCf8l,1,1,Male,1998,Working full-time,0,Bachelor’s degree,"$25,000 - $49,999 per year",Moderate ,11229,Northeast
R_1YgKRqE0NgIlsdV,3,2,Female,1976,Working full-time,2,Vocational or similar,"$45,000 - $74,999 per year",Very good,87109,West
R_3uwEbYwlWlM1KUI,1,5,Male,1954,Retired,0,Vocational or similar,"$25,000 - $49,999 per year",Good,60612,Midwest
R_10Pv5vFxnhhta8q,4,4,Male,1996,Working full-time,2,Bachelor’s degree,"$75,000 - $99,999 per year",Good,0186,
R_7ckdqWxZ4wtJsOT,1,1,Female,1978,A homemaker or stay-at-home parent,2,Vocational or similar,"$25,000 - $49,999 per year",Bad,44509,Midwest
R_8105I0CRFoD9lxL,7,5,Female,1999,Working part-time,0,Bachelor’s degree,"Less than $25,000 per year",Very good,46231,Midwest
R_7K1fDTpiahJSpip,1,1,Female,1964,Working full-time,0,Secondary school,"$25,000 - $49,999 per year",Good,40517,South
R_1uBw4qCNTxpu4bo,1,1,Male,1988,Working full-time,0,Master's degree,"$125,000 - $190,000 per year",Good,91745,West
R_5dWl4F6g0LWrSxm,5,5,Female,1991,Working full-time,2,Ph.D.,"$100,000 - $124,999 per year",Very good,02919,Northeast
R_7d9LJMElavXEoKb,1,1,Female,1951,Working part-time,0,Bachelor’s degree,"$45,000 - $74,999 per year",Moderate ,,
R_5JCNTQnM3Kg4P5Z,3,3,Male,1992,Working full-time,2,Bachelor’s degree,"$75,000 - $99,999 per year",Good,02864,Northeast
