ResponseId,R1_Drinking water from plastic bottles that contain Bisphenol A (BPA),R1_Eating food with phthalates transferred from plastic packaging,R1_Taking pharmaceutical products that contain parabens used as preservatives,R1_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R1_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R1_Eating fruits and vegetables treated with pesticides,R1_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R1_Using deodorants with phthalates in their fragrance,R1_Using sunscreens that contain parabens as preservatives,R1_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R1_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R1_Using insect repellents with pesticides on the skin,R1_Breathing in Bisphenol A (BPA) particles from indoor dust,R1_Breathing air containing phthalates from indoor air fresheners,R1_Breathing in paraben particles from indoor dust,R1_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R1_Breathing in brominated flame retardants (BFRs) released from electronic devices,R1_Breathing air containing pesticides that have migrated from landfills,R2_Drinking water from plastic bottles that contain Bisphenol A (BPA),R2_Eating food with phthalates transferred from plastic packaging,R2_Taking pharmaceutical products that contain parabens used as preservatives,R2_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R2_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R2_Eating fruits and vegetables treated with pesticides,R2_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R2_Using deodorants with phthalates in their fragrance,R2_Using sunscreens that contain parabens as preservatives,R2_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R2_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R2_Using insect repellents with pesticides on the skin,R2_Breathing in Bisphenol A (BPA) particles from indoor dust,R2_Breathing air containing phthalates from indoor air fresheners,R2_Breathing in paraben particles from indoor dust,R2_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R2_Breathing in brominated flame retardants (BFRs) released from electronic devices,R2_Breathing air containing pesticides that have migrated from landfills,R3_Drinking water from plastic bottles that contain Bisphenol A (BPA),R3_Eating food with phthalates transferred from plastic packaging,R3_Taking pharmaceutical products that contain parabens used as preservatives,R3_Eating foods that contain per- and polyfluoroalkyl substances (PFAS),R3_Consuming fish caught in waters contaminated with Brominated Flame Retardants (BFRs),R3_Eating fruits and vegetables treated with pesticides,R3_Applying body lotions containing Bisphenol A (BPA) directly to the skin,R3_Using deodorants with phthalates in their fragrance,R3_Using sunscreens that contain parabens as preservatives,R3_Applying face creams containing per- and polyfluoroalkyl substances (PFAS) directly to the skin,R3_Sleeping on a mattress that contains Brominated Flame Retardants (BFRs),R3_Using insect repellents with pesticides on the skin,R3_Breathing in Bisphenol A (BPA) particles from indoor dust,R3_Breathing air containing phthalates from indoor air fresheners,R3_Breathing in paraben particles from indoor dust,R3_Breathing in per- and polyfluoroalkyl substances (PFAS) particles while spending time in a carpeted indoor space,R3_Breathing in brominated flame retardants (BFRs) released from electronic devices,R3_Breathing air containing pesticides that have migrated from landfills
R_1ZPRg2PMAOOIyKJ,,,,,,,,,,,,,2,4,3,6,5,1,3,6,1,4,2,5,,,,,,,,,,,,,,,,,,,1,5,4,2,6,3,,,,,,
R_3ihf4Oy2iYGaNyh,,,4,,,,,,3,,2,,6,1,,,,5,5,2,,,,,4,,,,,6,,,3,1,,,,,,5,3,4,,6,,2,,,,,,,1,
R_5lAowRnjEr2b6aB,5,,4,6,,3,1,,,,,,,,2,,,,,2,,,3,,,,4,,,,1,,,,6,5,,,,,,,,3,,4,2,1,,6,,5,,
R_1FnW7m0SVE43Lsy,,,,5,,1,,6,3,,,2,,,,,4,,4,1,,,,,,,,5,3,,,,6,,,2,,,2,,5,,1,,,,,,6,3,,4,,
R_7PgRmwk2MYZlPhp,,,,,2,,,,,,,,3,5,6,4,1,,6,3,1,2,,5,,,,,,,,,,,,4,,,,,,,1,3,4,2,6,5,,,,,,
R_5403Hpcbe4LmTP8,3,,,,,5,1,6,2,,,,,,,4,,,,,,,4,,,,,3,1,,,,6,,2,5,,2,1,5,,,,,,,,4,6,3,,,,
R_3MscXXvzY7dYlJY,3,4,,,1,5,,,,,,,,,,,6,2,,,,1,,,,,,4,,5,6,3,,2,,,,,2,,,,3,5,4,,6,,,,1,,,
R_5uDmlmfnyFw5s4V,,2,3,,,,,6,5,4,,1,,,,,,,1,,,,5,3,6,,,,,,,,4,,,2,,,,1,,,,,,,6,,3,2,,4,5,
R_3k0x1CM0xSNGn5r,,4,,,,,5,,,6,2,,,3,,,,1,,,,2,1,3,,5,,,,4,6,,,,,,4,,5,,,,,,6,,,,,,3,2,1,
R_5BwiNZSAqLgJNaF,,,,,,,,,,,4,,2,5,3,1,6,,1,3,6,2,4,,,,,,,,,,,,,5,,,,,,1,5,3,6,4,,2,,,,,,
R_3dJuBS7E3lqLU1H,,4,1,2,,,,,,,,,6,,,,5,3,4,,,,6,3,,,,,,,,5,2,1,,,,,,,,,2,4,1,6,5,3,,,,,,
R_3f2FisYXpSoCf8l,4,,,6,,5,,,,,,,,,2,,3,1,,6,5,,2,,,,,,3,,1,,,4,,,,,,,,,3,5,6,4,,2,,1,,,,
R_1YgKRqE0NgIlsdV,1,4,,,,5,6,,,,,,3,,,2,,,,,3,,1,,,5,6,,,2,,,4,,,,,,,1,,,,,,4,3,,,5,,,2,6
R_3uwEbYwlWlM1KUI,2,5,,1,,,6,4,,,,3,,,,,,,,,,,,1,,,,,,,,5,2,6,4,3,,,6,,1,,,,4,3,5,,2,,,,,
R_10Pv5vFxnhhta8q,3,,6,,,,,,,,,,2,,4,,1,5,,5,,3,,,2,,,6,,,,4,,1,,,,,,,3,4,,5,2,,6,1,,,,,,
R_7ckdqWxZ4wtJsOT,,,2,,5,3,,,4,,6,,,,,,1,,2,6,,4,,,,5,,,,,1,,3,,,,,,,,,,2,,,1,,3,,4,,6,,5
R_8105I0CRFoD9lxL,4,6,,,2,,,,,,,,3,,,1,,5,,,,5,,,,,,,4,6,,3,1,,2,,,,3,,,6,5,2,4,1,,,,,,,,
